"","post_id","post_type","xyz"
"1","720575940610502570","CRE011","(147381, 43370, 654)"
"2","720575940619965466","CRE011","(113856.25, 57428, 2917)"
"3","720575940618074388","LAL051_R","112202, 57895, 2666"
"4","720575940603950270","LAL051","(149865.5, 58102, 1640.675)"
"5","720575940625961546","DM1_lPN","(124092.405, 58908.875, 1673)"
"6","720575940618911654","VES016","(116790.5, 62164.75, 2472.05)"
"7","720575940612977770","SMPneuron_L","146007, 25029, 1964"
"8","720575940613616287",NA,NA
"9","720575940625815812",NA,NA
"10","720575940625822120",NA,NA
"11","720575940624912536","DNp42","(136230, 83364, 5798)"
"12","720575940622206707","WEDPN4","(101778.14, 62440.335, 4163)"
"13","720575940609442766","WEDPN4_L","161918, 60445, 3863"
"14","720575940613406786","mALB1","(163131.725, 40543.255, 3267)"
"15","720575940628793285",NA,NA
"16","720575940630164807",NA,NA
"17","720575940615602210",NA,NA
"18","720575940619080118",NA,NA
"19","720575940621015309","SMP151","(149574.7, 32805.4175, 2671)"
"20","720575940630521764",NA,NA
"21","720575940632626839","SMPneuron_R","113798, 24321, 2558"
"22","720575940607493956",NA,NA
"23","720575940636741446","CRE076","(117394.46, 32216.0125, 3006)"
"24","720575940625063817","SMP175","(119376.415, 31065.25, 3750)"
"25","720575940620520268","mALB1_L","101141, 38759, 3833"
"26","720575940622506248","CRE050","(134763.175, 40414.1125, 2153)"
"27","720575940622791316",NA,NA
"28","720575940622224904","VES013","(118485.8, 64223.05, 2424)"
"29","720575940625475727",NA,NA
"30","720575940611776749","SIP087","(136835.75, 39200.62, 2299)"
"31","720575940639208949","AL-MBDL1","(131083.375, 51012.6, 1568)"
"32","720575940608524920",NA,NA
"33","720575940623071246","DNp42","(127780, 82559, 5798)"
"34","720575940603338016","MB-C1","(94695.86, 40673.48, 4462)"
"35","720575940613902523",NA,NA
"36","720575940622513928",NA,NA
"37","720575940603478118","LAL115_L","151129, 61505, 2274"
"38","720575940628185916",NA,NA
"39","720575940614875990","CRE050","(125701.825, 39090.25, 2195)"
"40","720575940621981621",NA,NA
"41","720575940628647286","AL-MBDL1_L","130989, 51844, 1568"
"42","720575940647405177",NA,NA
"43","720575940603996337",NA,NA
"44","720575940629661763","NULL","155638, 67849, 1964"
"45","720575940615177245",NA,NA
"46","720575940625305098","LAL115","(110942.5, 58990.25, 2657.2)"
"47","720575940621379731",NA,NA
"48","720575940632464831",NA,NA
"49","720575940640483784",NA,NA
"50","720575940609747093",NA,NA
"51","720575940604006833","OA-VUMa6","(121718.75, 36654.75, 3270)"
"52","720575940608479790",NA,NA
"53","720575940624449794","DP1m_adPN","(100247.975, 33377.4, 4681)"
"54","720575940621942507",NA,NA
"55","720575940609178062",NA,NA
"56","720575940629790520",NA,NA
"57","720575940604877954",NA,NA
"58","720575940629230351",NA,NA
"59","720575940644250659",NA,NA
"60","720575940629678393",NA,NA
"61","720575940630940205",NA,NA
"62","720575940613563039",NA,NA
"63","720575940625930728","v2LN37","(110621.125, 67560.8825, 1774)"
"64","720575940634402679",NA,NA
