"","post_id","post_type","xyz"
"1","720575940632626839","SMPneuron_R","113798, 24321, 2558"
"2","720575940625063817","SMP175","(119376.415, 31065.25, 3750)"
"3","720575940620520268","mALB1_L","101141, 38759, 3833"
"4","720575940614875990","CRE050","(125701.825, 39090.25, 2195)"
"5","720575940621981621",NA,NA
"6","720575940628647286","AL-MBDL1_L","130989, 51844, 1568"
"7","720575940615177245",NA,NA
"8","720575940625305098","LAL115","(110942.5, 58990.25, 2657.2)"
"9","720575940609747093",NA,NA
"10","720575940609178062",NA,NA
"11","720575940629790520",NA,NA
"12","720575940613563039",NA,NA
"13","720575940613406786","mALB1","(163131.725, 40543.255, 3267)"
"14","720575940618652525",NA,NA
"15","720575940644368692",NA,NA
"16","720575940625822120",NA,NA
"17","720575940608785618",NA,NA
"18","720575940639676545",NA,NA
"19","720575940625530133","SIP090","(100466.93, 35257.34, 3891)"
"20","720575940630208047",NA,NA
"21","720575940629661763",NA,"155638, 67849, 1964"
"22","720575940609442766","WEDPN4_L","161918, 60445, 3863"
"23","720575940638360821",NA,NA
"24","720575940630164807",NA,NA
"25","720575940626850347",NA,NA
"26","720575940606483925",NA,NA
"27","720575940628504663","LAL183","(137684.5, 57391.5675, 3349)"
"28","720575940630521764",NA,NA
"29","720575940625604625",NA,NA
"30","720575940608904146",NA,NA
"31","720575940612775058",NA,NA
"32","720575940629277970",NA,NA
"33","720575940613392140","DM2_lPN","(121947.765, 60104.13, 1618)"
"34","720575940619775612",NA,NA
"35","720575940622206707","WEDPN4","(101778.14, 62440.335, 4163)"
"36","720575940632957338",NA,NA
"37","720575940623010830",NA,NA
"38","720575940626123082","SMP002","(108039.82, 33408.3125, 2535)"
"39","720575940618754030",NA,NA
"40","720575940620849348","VL2a_adPN","(113975.97, 56674.32, 1467)"
"41","720575940618704294",NA,NA
"42","720575940619080118",NA,NA
"43","720575940625980136","SIP019","(108906.575, 24841.6625, 2685)"
"44","720575940647678329",NA,NA
"45","720575940627547586",NA,NA
"46","720575940629009423",NA,NA
"47","720575940622919182",NA,"164303, 60399, 4410"
"48","720575940624291100",NA,NA
"49","720575940652734625",NA,NA
"50","720575940625726229","ALIN1","(127931.6325, 42743.025, 3764)"
"51","720575940657660801",NA,NA
"52","720575940627768108","SLP439","(109019.595, 25933.4725, 3217)"
"53","720575940617439537","WEDPN2B","(102148.5075, 61254.0575, 4313)"
"54","720575940628552911",NA,NA
"55","720575940609321166","DM4_adPN","(108520.75, 32098, 4699)"
"56","720575940612577790",NA,NA
"57","720575940657580417",NA,NA
"58","720575940646521465",NA,NA
"59","720575940627705600",NA,NA
"60","720575940603971761","SMP108","(123560.075, 49066.3825, 1620)"
"61","720575940615600870",NA,NA
"62","720575940614246173",NA,NA
"63","720575940625609476",NA,NA
"64","720575940635743551",NA,NA
"65","720575940626631017",NA,NA
"66","720575940609836401","SMP603","(111591.05, 33167.9025, 1547)"
"67","720575940611493329",NA,NA
"68","720575940633605556",NA,NA
"69","720575940626206538",NA,NA
"70","720575940620197801","PPL103","(125058.525, 34855.84, 2229)"
"71","720575940617081304",NA,NA
"72","720575940627971799",NA,NA
"73","720575940638068725",NA,NA
"74","720575940628820729",NA,NA
"75","720575940616472118",NA,NA
"76","720575940626425841",NA,NA
"77","720575940618974317",NA,NA
"78","720575940630045288",NA,NA
"79","720575940609893555",NA,NA
"80","720575940629358403",NA,NA
"81","720575940619938593",NA,NA
"82","720575940604861641",NA,NA
"83","720575940626913127",NA,NA
"84","720575940626099630","SMP058","(121384.3, 28211.35, 1663)"
"85","720575940603829094","AVLP571","(108887.5, 48733.5, 3201)"
"86","720575940616417403",NA,NA
"87","720575940614119029",NA,NA
"88","720575940632205759",NA,NA
"89","720575940640213889",NA,NA
"90","720575940637419325",NA,NA
"91","720575940627971072",NA,NA
"92","720575940630792877",NA,NA
"93","720575940625643919",NA,NA
"94","720575940608106542",NA,NA
"95","720575940622118837",NA,NA
"96","720575940611235053","VC1_lPN","(95635.78, 33065.5425, 4570)"
"97","720575940615293396","DSKMP3","(104504.1175, 32830.3675, 2715)"
"98","720575940633581304",NA,NA
"99","720575940639962497",NA,NA
"100","720575940634228325",NA,NA
"101","720575940618703782",NA,NA
"102","720575940639204597",NA,NA
"103","720575940635692766",NA,NA
"104","720575940621868471",NA,NA
"105","720575940647636089",NA,NA
"106","720575940638140661",NA,NA
"107","720575940634543472",NA,NA
"108","720575940636517190","SLP171","(99966.25, 30970, 3616)"
"109","720575940621571818","SMP076","(117573.4925, 25160.4625, 3450)"
"110","720575940658111361","SIP013","(99587.96, 34203.7775, 3900)"
"111","720575940621400361",NA,NA
"112","720575940626078736",NA,NA
"113","720575940610426085",NA,NA
"114","720575940609901425",NA,NA
"115","720575940613277888",NA,NA
"116","720575940630869293",NA,NA
"117","720575940622994253","CRE018","(112549.335, 38652.605, 2354)"
"118","720575940623064078",NA,NA
"119","720575940629963624",NA,NA
"120","720575940625617234",NA,NA
"121","720575940614294389",NA,NA
"122","720575940624512514","WEDPN2A","(100799.43, 61735.0075, 4274)"
"123","720575940608137501","SLP215","(108409.25, 34898.25, 2854)"
"124","720575940641685152","SLP421","(107607.9, 26390.31, 3287)"
"125","720575940618621606",NA,NA
"126","720575940632602303",NA,NA
"127","720575940630845869",NA,NA
"128","720575940610562930",NA,NA
"129","720575940619439476",NA,NA
"130","720575940624292892",NA,NA
"131","720575940632575204",NA,NA
"132","720575940621344767",NA,NA
"133","720575940626296592",NA,NA
"134","720575940618814960","SLP314","(98851.75, 32736.7675, 4286)"
"135","720575940626260752",NA,NA
"136","720575940616620608",NA,NA
"137","720575940617614795",NA,NA
"138","720575940627808122",NA,NA
"139","720575940638116597",NA,NA
"140","720575940625294138",NA,NA
"141","720575940619104244",NA,NA
"142","720575940613901362","VC5_adPN","(100376.11, 32539.92, 4572)"
"143","720575940617942804",NA,NA
"144","720575940619266032",NA,NA
"145","720575940631218899","VC3l_adPN","(121776.78, 59531.1125, 1514)"
"146","720575940624297624",NA,NA
"147","720575940631770852",NA,NA
"148","720575940644244515",NA,NA
"149","720575940625908200",NA,NA
"150","720575940615335773",NA,NA
"151","720575940630300108",NA,NA
"152","720575940609900145",NA,NA
"153","720575940637224782",NA,NA
"154","720575940603907774",NA,NA
"155","720575940612566782",NA,NA
"156","720575940615712230",NA,NA
"157","720575940609979610",NA,NA
"158","720575940621485706",NA,NA
"159","720575940602443744","SMP059","(117460.7425, 30030.76375, 1974)"
"160","720575940624835209",NA,NA
"161","720575940612146129",NA,NA
"162","720575940616135707",NA,NA
"163","720575940610143667","DNp09","(127781, 82727, 5799)"
"164","720575940615378644",NA,NA
"165","720575940628537295",NA,NA
"166","720575940625937393",NA,NA
