"","post_id","type","xyz.y"
"1","720575940628707279","DNb05","(126786, 80638, 5798)"
"2","720575940613334175","DNp44","(131403, 79613, 5798)"
"3","720575940626246641","DN","(129684, 76229, 5798)"
"4","720575940604700105","DNp12","(129226, 81651, 5798)"
"5","720575940614100411","DNp05","(134433, 74743, 5798)"
"6","720575940620638284","DNp32","(130994, 82698, 5798)"
"7","720575940630630308","DNp47","(128582, 80921, 5798)"
"8","720575940616017665","DNg30","(136210, 83701, 5798)"
"9","720575940625623829","DNg56","(130574, 81785, 5798)"
"10","720575940614010124","DNg84","(134201, 83798, 5798)"
"11","720575940622966093","DNp25","(131156, 78093, 5798)"
"12","720575940603539558","DN","(130499, 76816, 5798)"
"13","720575940637217845","DN","(128630, 83769, 5798)"
"14","720575940623502992","DNp03","(133959, 75875, 5798)"
"15","720575940615361748","DNp02","(128626, 82086, 5798)"
"16","720575940615875485","DNb05","(137512, 82467, 5798)"
"17","720575940625735823","DNp103","(132670, 77325, 5798)"
"18","720575940637577560","DN","(129319, 81383, 5798)"
"19","720575940626025192","DN","(132729, 78913, 5798)"
"20","720575940622109191","DNp26","(134072, 76376, 5798)"
"21","720575940610869270","DNp44","(133150, 79660, 5798)"
"22","720575940610606706","DN","(134042, 77745, 5798)"
"23","720575940641884832","DN","(123641, 79936, 5798)"
"24","720575940616079700","DNp06","(131071, 76631, 5798)"
"25","720575940632225692","DNp10","(133703, 79461, 5798)"
"26","720575940637688691","DNp42","(127780, 82559, 5798)"
"27","720575940634841518","DN","(132547, 79566, 5798)"
"28","720575940633322603","DNb07","(127910, 81387, 5798)"
"29","720575940615747585","DN","(127533, 82323, 5798)"
"30","720575940618366484","DN","(132964, 78805, 5798)"
"31","720575940637977944","DN","(132983, 79349, 5798)"
"32","720575940635924452","DN","(125851, 76175, 5798)"
"33","720575940629180613","DNp35","(127579, 82711, 5799)"
"34","720575940615621981","DNp62","(132799, 77064, 5798)"
"35","720575940619690224","DNp32","(132783, 82989, 5798)"
